,chat_id,question_translated,text_response,topic_number,topic_category
0,1000,ncf,national ecce curriculum framework document created ministry woman child development india outline principle objective goal early childhood care education country draw idea experience many individual group including government official educator child development expert framework cover topic theoretical foundation ecce curricular issue concern guiding principle program planning link national ecce curriculum framework,16,early_child_education
1,1014,girl diarrhoea,resource link video hindi discus major cause solution diarrhea child additionally following resource link cover topic related holistic development health nutrition growth development habit child including diarrhea half minute fight diarrhea safe drinking water child nutrition iodine necessary worm diarrhea vaccination,5,Child_development
2,1021,child fever,child fever important monitor temperature provide plenty fluid prevent dehydration give counter fever reducer like acetaminophen ibuprofen make sure follow recommended dosage age weight fever persists child show symptom like difficulty breathing rash important seek medical attention resource link information fever management child,12,Medical_advice
3,1022,yes,ai language model policy provide best answer possible based information provided strive provide accurate helpful response best ability appropriate provide relevant resource link assist user question inquiry however not guarantee accuracy reliability external resource user always exercise judgment using,2,Education_resource
4,1023,child fever,child fever important monitor temperature provide plenty fluid prevent dehydration give acetaminophen ibuprofen help reduce fever alleviate discomfort however child fever accompanied symptom difficulty breathing severe headache rash important seek medical attention immediately resource link information fever management,12,Medical_advice
5,1024,child usually learn walk,child typically learn walk month age however every child different may learn pace resource link information child development center disease control prevention cdc milestone action american academy pediatrics aap developmental milestone world health organization child development,5,Child_development
6,1025,keep mind teething child,sorry given context doe not provide information teething however suggest general tip teething infant try giving child something chew teething ring clean damp washcloth massage child gum clean finger damp gauze pad important monitor child closely time provide comfort needed child experiencing significant pain discomfort may want consult pediatrician dentist additional advice unfortunately not resource link specifically related teething may find helpful information parenting website forum,2,Education_resource
7,1026,hamara gaon poster involve section society,ai language model not access specific poster image however hamara gaon hindi term translates village hamara gaon poster tool used promote community development social inclusion rural area india poster designed engage different section society including woman child marginalized group development process hamara gaon poster typically includes information various aspect village life health education sanitation agriculture highlight importance community participation encourages individual take active role development village poster visual interactive tool used facilitate discussion encourage community member share idea opinion used raise awareness important issue promote social change resource link related hamara gaon poster community development rural india hamara gaon community development initiative website provides information hamara gaon initiative used promote community development rural india includes case study success story resource community development national rural livelihood mission nrlm nrlm government initiative aimed reducing poverty promoting social inclusion rural india provides resource support community development initiative including use tool like hamara gaon poster undp india rural poverty reduction website provides information united nation development programme effort reduce poverty promote sustainable development rural india includes resource case study related community development social inclusion,8,History
8,1032,bal shiksha,bal shiksha hindi term translates child education child learning concept emphasizes importance early childhood education development india bal shiksha aim provide child strong foundation basic literacy numeracy life skill promote social emotional physical development relevant resource link related bal shiksha bal shiksha abhiyan government initiative india aim provide quality education child age group year program focus improving access education reducing dropout enhancing quality education bal shiksha kendra community based program provides early childhood education care child rural area india program aim promote holistic development child play based learning age appropriate activity bal shiksha foundation non profit organization work towards improving quality education underprivileged child india organization provides resource support school teacher enhance learning experience child bal shiksha manovigyan book child psychology development written hindi dr shailendra sharma book provides insight cognitive social emotional development child offer practical tip parent educator support growth development hope information help,16,early_child_education
9,1033,help child education,many way assist child education including creating consistent routine studying completing homework providing quiet distraction free environment studying encouraging reading providing access book helping organization time management skill communicating regularly teacher staying involved child education providing educational resource activity outside school educational game field trip encouraging growth mindset praising effort achievement resource link may helpful khan academy provides free online course resource variety subject grade level scholastic offer free educational resource activity parent teacher pb learningmedia provides free educational video game lesson plan teacher parent readwritethink offer free reading writing resource parent teacher common sense medium provides review recommendation educational apps game website,2,Education_resource
10,1034,involvement uneducated mother child education,yes provide information involvement uneducated mother child education research shown parental involvement child education crucial academic success however uneducated doe not necessarily mean mother not involved child education many way uneducated mother support child learning reading child even mother not read still read picture book child talk picture talking child engaging conversation child help develop language skill build vocabulary helping homework uneducated mother may not able help complex homework assignment still provide support creating quiet study space providing material encouraging child complete work encouraging learning uneducated mother still encourage child learn asking day school praising effort showing interest education seeking help uneducated mother feel overwhelmed unsure support child education seek help teacher school counselor community resource resource may helpful uneducated mother want support child education parental involvement education national education association way involve parent child education edutopia parental involvement education matter harvard graduate school education hope information helpful,2,Education_resource
11,1035,motivate parent educate child,sure tip motivate parent educate child emphasize importance early childhood education explain parent early childhood education crucial child development future success share research study show benefit early childhood education provide resource support offer parent resource support help educate child include book educational material online resource workshop make fun engaging encourage parent make learning fun engaging child include playing educational game art project reading book together set achievable goal help parent set achievable goal child education include learning new skill mastering specific subject celebrate success celebrate success child parent include recognizing milestone sharing success story providing positive feedback relevant resource link national association education young child naeyc provides resource support early childhood education u department education offer resource parent early childhood education pb kid offer educational game activity young child scholastic provides educational material resource parent educator khan academy offer free educational video resource child age,2,Education_resource
12,1036,balsakhi,resource link early childhood education unbuttoning buttoning wearing slippersshoes without lace folding clothes reading survival word identification mode transport tracing borrowing returning object assistive aid appliance device resource cover topic holistic development health nutrition growth development disability inclusive education child physical development cognitive development social development emotional development language development creativity child nutrition special need,5,Child_development
13,1037,balsakhi matao ki bhumika,balsakhi program india aim promote early childhood development care role mother balsakhi actively participate program engage activity promote child development mother encouraged attend meeting workshop share experience learn different aspect child development health nutrition education relevant resource link balsakhi balsakhi program overview resource provides overview balsakhi program objective includes information role mother program different activity conducted promote early childhood development care balsakhi program implementation guideline resource provides detailed guideline implementing balsakhi program includes information role responsibility different stakeholder mother anganwadi worker supervisor balsakhi program training manual resource provides training manual balsakhi program implementers includes information different aspect child development health nutrition education strategy engaging mother promoting participation program balsakhi program evaluation report resource provides evaluation report balsakhi program includes information impact program child development outcome role mother promoting outcome overall balsakhi program emphasizes importance mother promoting early childhood development care actively engaging program participating different activity mother play crucial role ensuring child future success,2,Education_resource
14,1039,dast ke dauran bacchon ka khayal kaise rakhte hain,yes provide relevant resource link taking care child illness diarhea hindi video provides information common cause remedy diarrhea child tip maintaining good hygiene healthy diet resource link introduction first aid resource cover basic first aid technique used treat minor injury illness child resource link fever resource provides information recognize treat fever child resource link minor cut resource provides information clean dress minor cut wound child resource link dehydration resource provides information recognize treat dehydration child resource link hope resource helpful please note resource hindi,12,Medical_advice
15,1043,early childhood education,early childhood education ece refers education care child birth age six critical period childrens development time brain rapidly developing learning important skill concept set foundation future learning success ece program include range activity experience play based learning socialization language literacy development physical development relevant resource link information early childhood education national association education young child naeyc early childhood education zone zero three early childhood learning knowledge center,16,early_child_education
16,1045,capital kerala,capital kerala thiruvananthapuram relevant resource link,2,Education_resource
17,1047,national curriculum framework ece,national curriculum framework early childhood education ecce guiding document ecce service provider india provides guideline child care early educational practice focus promoting quality excellence early childhood education framework divided three section foundation early care learning goal early care learning programme planning practice cover topic theoretical foundation ecce principle early learning development domain development pedagogical approach assessment procedure link national ecce curriculum framework,16,early_child_education
18,1048,early childhood education,early childhood education ece program focus education care young child typically birth age six aim ece facilitate optimum development child full potential lay foundation round development lifelong learning ece program provide stimulating environment language intellectual social emotional physical development child national early childhood care education ecce curriculum framework child six year age aligned government vision ecce spelled national early childhood care education ecce policy national ecce curriculum framework informed position paper ecce national curriculum framework ncert curriculum detailed thereunder purpose framework promote quality excellence early childhood care education providing guideline child care early educational practice relevant resource link national early childhood care education ecce policy national curriculum framework early childhood education early childhood education programme ncert unicef early childhood education,16,early_child_education
19,1050,child obese,obesity child caused lack physical activity increased screen time inadequate sleep poor diet factor often influenced environmental factor socioeconomic status access healthy food option resource link information,5,Child_development
20,1052,early childhood education,early childhood education ece program designed child birth six year age aim facilitate optimum development child full potential lay foundation round development lifelong learning ece provides stimulating environment language intellectual social emotional physical development child child centered program catering individual childrens learning emotional need individual small large group activity one one communication national early childhood care education ecce curriculum framework child six year age aligned government vision ecce spelled national early childhood care education ecce policy framework intended guiding document ecce service provider region relevant resource link national early childhood care education ecce policy national curriculum framework early childhood education ncfecce early childhood education programme ncert,16,early_child_education
21,1053,early childhood education,early childhood education ece type education focus development child birth age six year critical stage human life rate development period rapid stage development ece make positive contribution childrens long term development learning facilitating enabling stimulating environment foundation year lifelong learning national early childhood care education ecce curriculum framework child six year age aligned government vision ecce spelt national early childhood care education ecce policy national ecce curriculum framework informed position paper ecce national curriculum framework ncert curriculum detailed thereunder link national early childhood care education ecce policy link national curriculum framework ecce,16,early_child_education
22,1054,ece,early childhood education ece refers education care young child birth age indispensable foundation lifelong development learning lasting impact early childhood development ece encompasses inseparable element care health nutrition play early learning within protective enabling environment imperative accord priority attention ece invest since cost effective way break intergenerational cycle multiple disadvantage remove inequity investing ece undoubtedly lead long term social economic benefit relevant resource link national early childhood care education ecce policy national curriculum framework early childhood education unicef early childhood education world bank early childhood education,16,early_child_education
